가는 편,가는 편,가는 편,가는 편,오는 편,오는 편,오는 편,오는 편,구분,구분
항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,카드사,가격(원)
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,06:50 (BCN),22:40 (ICN),"경유 2, 32시간 50분",성인/BC바로카드,"1,548,700"
에티하드항공,14:05 (ICN),07:55 (BCN),"경유 2, 24시간 50분",에티하드항공,06:50 (BCN),22:40 (ICN),"경유 2, 32시간 50분",성인/롯데카드,"1,549,700"
에티하드항공,18:00 (ICN),16:35 (BCN),"경유 2, 29시간 35분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,551,000"
"중국동방항공, 에어프랑스",08:55 (ICN),22:55 (BCN),"경유 2, 21시간 00분","중국동방항공, 에어프랑스",06:20 (BCN),17:25 (ICN),"경유 2, 28시간 05분",성인/삼성카드,"1,551,100"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,06:50 (BCN),22:40 (ICN),"경유 2, 32시간 50분",성인/BC바로카드,"1,556,500"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,11:40 (BCN),11:40 (ICN),"경유 2, 41시간 00분",성인/롯데카드,"1,560,400"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,562,100"
에어프랑스,10:50 (ICN),11:40 (BCN),"경유 1, 31시간 50분",KLM네덜란드항공,06:20 (BCN),08:40 (ICN),"경유 2, 19시간 20분",성인/롯데 Trip to 로카 카드,"1,563,600"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,21:10 (BCN),08:40 (ICN),"경유 1, 28시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,565,400"
에미레이트항공,23:55 (ICN),08:35 (BCN),"경유 1, 39시간 40분",에미레이트항공,21:00 (BCN),17:00 (ICN),"경유 1, 37시간 00분",성인/삼성카드,"1,574,000"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,16:50 (BCN),11:40 (ICN),"경유 2, 35시간 50분",성인/롯데카드,"1,578,100"
