0,1,2
제주항공,"19:20ICN
21:05KIX
직항, 01시간 45분","성인/삼성 iD NOMAD 카드
왕복 394,220원~"
에어서울,"18:30KIX
20:20ICN
직항, 01시간 50분","성인/롯데카드
왕복 394,450원~"
피치항공,"15:15ICN
17:00KIX
직항, 01시간 45분","성인/삼성카드
왕복 395,300원~"
에어부산,"10:40KIX
12:35ICN
직항, 01시간 55분","성인/삼성카드
왕복 395,300원~"
티웨이항공,"15:15ICN
17:00KIX
직항, 01시간 45분","성인/롯데카드
할인
특가확인
왕복 396,000원~"
제주항공,"13:10KIX
15:00ICN
직항, 01시간 50분","성인/삼성 iD NOMAD 카드
왕복 396,320원~"
아시아나항공,"15:20ICN
17:10KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 396,600원~"
제주항공,"19:40KIX
21:40ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 396,700원~"
아시아나항공,"07:55ICN
09:40KIX
직항, 01시간 45분","성인/삼성 iD NOMAD 카드
왕복 396,810원~"
제주항공,"18:10KIX
19:55ICN
직항, 01시간 45분","성인/모든 결제수단
왕복 397,100원~"
티웨이항공,"19:20ICN
21:05KIX
직항, 01시간 45분","성인/모든 결제수단
왕복 399,050원~"
이스타항공,"18:10KIX
19:55ICN
직항, 01시간 45분","성인/모든 결제수단
왕복 399,300원~"
티웨이항공,"13:25ICN
15:15KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 400,350원~"
이스타항공,"11:10KIX
13:00ICN
직항, 01시간 50분","성인/신한카드
할인
특가확인
왕복 400,500원~"
티웨이항공,"16:05ICN
18:00KIX
직항, 01시간 55분","성인/신한카드
할인
특가확인
왕복 400,500원~"
에어서울,"12:50KIX
14:50ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 400,600원~"
티웨이항공,"16:05ICN
18:00KIX
직항, 01시간 55분","성인/신한카드
할인
특가확인
왕복 400,700원~"
에어서울,"18:45KIX
20:55ICN
직항, 02시간 10분","성인/신한카드
할인
특가확인
왕복 400,700원~"
제주항공,"16:05ICN
18:00KIX
직항, 01시간 55분","성인/삼성 iD NOMAD 카드
왕복 401,100원~"
에어부산,"16:15KIX
18:25ICN
직항, 02시간 10분","성인/삼성 iD NOMAD 카드
왕복 401,100원~"
제주항공,"15:20ICN
17:10KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 401,200원~"
에어부산,"16:15KIX
18:25ICN
직항, 02시간 10분","성인/KB국민카드(이용실적 충족시)
왕복 401,700원~"
에어서울,"08:00ICN
09:50KIX
직항, 01시간 50분","성인/삼성 iD NOMAD 카드
왕복 401,850원~"
티웨이항공,"15:25KIX
17:20ICN
직항, 01시간 55분","성인/삼성 iD NOMAD 카드
왕복 402,850원~"
피치항공,"12:40ICN
15:00KIX
직항, 02시간 20분","성인/롯데카드
왕복 404,100원~"
제주항공,"15:25KIX
17:20ICN
직항, 01시간 55분","성인/삼성카드
왕복 404,320원~"
에어서울,"16:05ICN
18:00KIX
직항, 01시간 55분","성인/모든 결제수단
왕복 404,800원~"
제주항공,"19:40KIX
21:40ICN
직항, 02시간 00분","성인/롯데카드
할인
특가확인
왕복 406,350원~"
피치항공,"09:10ICN
11:00KIX
직항, 01시간 50분","성인/롯데카드
왕복 406,350원~"
에어서울,"16:15KIX
18:25ICN
직항, 02시간 10분","성인/모든 결제수단
왕복 406,700원~"
피치항공,"15:20ICN
17:10KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 406,700원~"
