항공,출발 시간,도착 시간,소요 시간,카드사,가격
싱가폴항공,21:40,22:15,"경유 2, 53시간 35분",성인/모든 결제수단,"4,510,500"
대한항공,17:34,15:20,"경유 1, 26시간 46분",성인/삼성 iD NOMAD 카드,"4,882,000"
대한항공,15:33,17:05,"경유 1, 30시간 32분",성인/삼성 iD NOMAD 카드,"4,964,100"
ANA,15:50,04:35,"경유 1, 17시간 45분",성인/모든 결제수단,"5,008,809"
대한항공,17:34,15:20,"경유 1, 26시간 46분",성인/삼성 iD NOMAD 카드,"5,124,300"
대한항공,17:45,17:50,"경유 1, 29시간 05분",성인/삼성 iD NOMAD 카드,"5,181,200"
대한항공,15:33,17:05,"경유 1, 30시간 32분",성인/삼성 iD NOMAD 카드,"5,209,100"
대한항공,17:45,17:50,"경유 1, 29시간 05분",성인/삼성 iD NOMAD 카드,"5,438,000"
에어캐나다,22:00,16:05,"경유 1, 23시간 05분",성인/삼성카드,"5,572,900"
"에어캐나다, 유나이티드항공",23:30,16:05,"경유 2, 21시간 35분",성인/삼성카드,"5,584,300"
에어캐나다,22:30,16:05,"경유 2, 22시간 35분",성인/삼성카드,"5,652,400"
에어캐나다,23:30,16:05,"경유 2, 21시간 35분",성인/삼성카드,"5,762,800"
에어캐나다,22:00,16:05,"경유 1, 23시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"5,943,700"
에어캐나다,22:00,16:05,"경유 1, 23시간 05분",성인/삼성카드,"6,389,000"
에어캐나다,22:00,16:05,"경유 1, 23시간 05분",성인/삼성카드,"6,396,600"
에어캐나다,22:00,16:05,"경유 1, 23시간 05분",성인/삼성카드,"6,468,100"
에어캐나다,22:30,16:05,"경유 2, 22시간 35분",성인/삼성카드,"6,468,400"
에어캐나다,22:30,16:05,"경유 2, 22시간 35분",성인/삼성카드,"6,476,000"
하와이안항공,19:00,15:15,"경유 1, 25시간 15분",성인/KB국민카드(이용실적 충족시),"6,492,700"
아시아나항공,19:00,15:15,"경유 1, 25시간 15분",성인/KB국민카드(이용실적 충족시),"6,503,300"
에어캐나다,22:00,16:05,"경유 1, 23시간 05분",성인/삼성카드,"6,526,900"
대한항공,19:00,15:15,"경유 1, 25시간 15분",성인/KB국민카드(이용실적 충족시),"6,532,300"
에어캐나다,22:30,16:05,"경유 2, 22시간 35분",성인/삼성카드,"6,547,500"
에어캐나다,23:30,16:05,"경유 2, 21시간 35분",성인/삼성카드,"6,578,800"
에어캐나다,23:30,16:05,"경유 2, 21시간 35분",성인/삼성카드,"6,586,400"
에어캐나다,22:00,16:05,"경유 1, 23시간 05분",성인/삼성카드,"6,590,300"
에어캐나다,22:30,16:05,"경유 2, 22시간 35분",성인/삼성카드,"6,606,300"
하와이안항공,17:45,15:15,"경유 1, 26시간 30분",성인/롯데카드,"6,643,600"
아시아나항공,17:45,15:15,"경유 1, 26시간 30분",성인/NH채움카드,"6,655,400"
에어캐나다,23:30,16:05,"경유 2, 21시간 35분",성인/삼성카드,"6,658,000"
에어캐나다,22:30,16:05,"경유 2, 22시간 35분",성인/삼성카드,"6,669,700"
델타항공,12:45,05:00,"경유 1, 21시간 15분",성인/삼성카드,"6,692,600"
대한항공,17:45,15:15,"경유 1, 26시간 30분",성인/삼성카드,"6,711,000"
에어캐나다,23:30,16:05,"경유 2, 21시간 35분",성인/삼성카드,"6,716,700"
에어캐나다,23:30,16:05,"경유 2, 21시간 35분",성인/삼성카드,"6,780,100"
델타항공,12:45,17:50,"경유 1, 34시간 05분",성인/삼성카드,"6,801,100"
델타항공,12:45,05:00,"경유 1, 21시간 15분",성인/롯데카드,"6,806,100"
ANA,13:30,15:00,"경유 1, 30시간 30분",성인/롯데카드,"6,831,600"
ANA,13:30,15:00,"경유 1, 30시간 30분",성인/모든 결제수단,"6,913,800"
일본항공,15:50,04:35,"경유 1, 17시간 45분",성인/모든 결제수단,"7,118,266"
ANA,13:30,04:20,"경유 1, 19시간 50분",성인/롯데카드,"7,338,800"
ANA,13:30,04:20,"경유 1, 19시간 50분",성인/모든 결제수단,"7,363,300"
유나이티드항공,12:40,04:10,"경유 1, 20시간 30분",성인/모든 결제수단,"7,370,300"
"하와이안항공, 대한항공",07:55,05:00,"경유 1, 26시간 05분",성인/롯데카드,"7,444,700"
아시아나항공,07:55,05:00,"경유 1, 26시간 05분",성인/NH채움카드,"7,456,500"
